                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2872,                 4.9685,                 4.0855,                0.00344,                0.28939,                  0.005,                 0.0016,                  2.634,                 4.4776,                 3.8813,                0.00333,                0.00333,                0.00333
                      2,                 2.3052,                 4.0841,                   2.98,                0.24957,                0.07271,                0.02957,                0.01584,                 1.7777,                 3.6726,                 2.5213,              0.0066194,              0.0066194,              0.0066194
                      3,                 1.7718,                 3.5478,                 2.2807,                 0.1698,                0.15519,                0.05177,                0.03151,                 1.4826,                 3.6037,                 2.0975,              0.0098647,              0.0098647,              0.0098647
                      4,                  1.593,                 3.2544,                 2.0357,                0.16076,                0.15532,                0.07421,                0.05041,                 1.3233,                 3.1237,                 1.8473,               0.009802,               0.009802,               0.009802
                      5,                 1.5122,                 3.0789,                 1.9412,                 0.2071,                0.20831,                0.08866,                0.06075,                 1.2659,                  3.098,                 1.7596,               0.009736,               0.009736,               0.009736
                      6,                 1.4733,                 2.9576,                 1.8669,                0.26557,                0.21623,                0.12441,                0.08671,                 1.2327,                 2.8338,                 1.6963,                0.00967,                0.00967,                0.00967
                      7,                 1.4222,                 2.8009,                 1.8216,                0.20866,                0.23613,                0.13477,                0.09307,                 1.1539,                 2.7568,                 1.6396,               0.009604,               0.009604,               0.009604
                      8,                 1.3889,                 2.7398,                 1.7801,                0.22029,                0.23821,                0.14146,                0.09285,                 1.1814,                 2.8044,                 1.6253,               0.009538,               0.009538,               0.009538
                      9,                 1.3641,                 2.6636,                 1.7466,                0.30824,                0.23104,                0.17859,                0.12839,                 1.1213,                 2.5989,                 1.5743,               0.009472,               0.009472,               0.009472
                     10,                 1.3421,                 2.6016,                  1.722,                0.34633,                0.22491,                0.18166,                 0.1314,                 1.1636,                  2.617,                 1.6026,               0.009406,               0.009406,               0.009406
                     11,                 1.3244,                 2.5224,                 1.7027,                0.29651,                0.27888,                0.20897,                0.15337,                  1.087,                 2.5273,                 1.5416,                0.00934,                0.00934,                0.00934
